機能分類,現在の実装,問題点,理想的な実装,実装方法,優先度,影響範囲,テスト方法
タスクバー検出,IsWindowVisible() + 位置判定,循環参照で不正確,位置のみベース判定,GetWindowRect()のtop値で判定,高,全体動作,手動でタスクバー表示/隠れ
位置判定条件,taskbarRect.top >= screenHeight + 40,条件が複雑,taskbarRect.top > screenHeight - 10,シンプルな閾値判定,高,検出精度,画面座標ログ確認
デバウンス機能,2回連続確認(700ms),応答性に影響,1回確認または削除,即座に状態反映,中,応答速度,状態変化タイミング測定
監視間隔,350ms,やや重い,500ms,適切な間隔に調整,低,システム負荷,CPU使用率監視
マウス検出範囲,画面下端80px,範囲が広すぎ,タスクバー周辺のみ,実際のタスクバー範囲±10px,中,誤表示防止,マウス位置ログ
表示ディレイ,300ms,固定値,300ms(設定可能),QTimer::singleShot,低,ユーザー体験,表示タイミング測定
表示トリガー,タスクバー出現+マウスオーバー,複数条件で複雑,タスクバー出現のみ,タスクバー状態変化のシグナルのみ,高,基本動作,各トリガー個別テスト
非表示トリガー,タスクバー隠れ+マウス離脱,条件が複雑,タスクバー隠れのみ,タスクバー隠れ検出で即座非表示,高,基本動作,隠れタイミング測定
循環参照対策,一時的TaskBarEx隠し,ちらつきの原因,対策不要(検出ロジック改善),位置判定のみで十分,高,安定性,長時間動作テスト
ログ出力,詳細すぎ,パフォーマンス影響,必要最小限,エラー時と状態変化時のみ,低,保守性,ログファイルサイズ確認

現在のコード場所,,,,,,,
TaskbarVisibilityMonitor.cpp,checkTaskbarVisibility(),デバウンス処理が複雑,シンプルな状態チェック,条件分岐削減,高,検出精度,単体テスト
TaskbarVisibilityMonitor.cpp,getTaskbarVisibilityUsingPosition(),位置判定が不正確,正確な閾値設定,条件式修正,高,基本機能,境界値テスト
TaskbarWindow.cpp,updateVisibilityBasedOnState(),表示ロジックが複雑,タスクバー状態のみ依存,条件分岐簡素化,高,表示制御,表示/非表示テスト
TaskbarWindow.cpp,onMouseTrackCheck(),マウス検出範囲広すぎ,タスクバー付近のみ,範囲値調整,中,誤表示防止,マウス位置テスト
TaskbarWindow.cpp,onShowDelayTimeout(),ディレイ処理,現状維持,タイマー処理,低,ユーザー体験,タイミングテスト

修正ステップ,,,,,,,
ステップ1,タスクバー位置判定修正,screenHeight + 40 → screenHeight - 10,正確な表示/隠れ判定,閾値変更,1,全体,座標値確認
ステップ2,デバウンス削除,2回確認 → 即座反映,応答性向上,条件削除,2,応答性,状態変化速度
ステップ3,マウス検出範囲縮小,80px → 20px,誤表示防止,範囲値変更,3,操作性,マウス動作テスト
ステップ4,表示条件単純化,複数条件 → タスクバー出現のみ,シンプル化,条件削除,4,安定性,表示ロジックテスト
ステップ5,循環参照対策削除,一時隠し処理削除,ちらつき解消,コード削除,5,安定性,長時間テスト

期待される結果,,,,,,,
基本動作,タスクバー表示時のみアプリバー表示,現在: 出っぱなし/ちらつき,タスクバーと完全連動,正確な状態検出,最高,全ユーザー,手動操作確認
応答性,状態変化に即座に反応,現在: 遅延あり,300ms以内の応答,デバウンス最適化,高,操作感,タイミング測定
安定性,長時間安定動作,現在: 不安定,24時間以上安定,エラーハンドリング強化,高,信頼性,長時間テスト
CPU使用率,低負荷,現在: やや高負荷,1%以下,監視間隔最適化,中,システム,リソース監視
メモリ使用量,一定,現在: 微増傾向,50MB以下維持,メモリリーク対策,中,システム,メモリ監視
