状態,タスクバー位置,タスクバー表示状態,マウス位置,アプリバー状態,トリガー条件,遷移先,備考
初期状態,画面外(Y>1120),非表示,任意の場所,非表示,マウスが画面下端に移動,タスクバー出現中,通常の待機状態
タスクバー出現中,画面下端付近(Y≈1030-1080),表示中,画面下端付近,非表示(300msディレイ中),300msディレイ完了,アプリバー表示中,ディレイ中はまだ表示しない
アプリバー表示中,画面下端付近(Y≈1030-1080),表示中,タスクバー付近またはアプリバー上,表示中,マウス離脱,タスクバー隠れ中,正常表示状態
タスクバー隠れ中,画面外への移動中,非表示への遷移中,画面下端から離脱,表示中(短時間),タスクバー完全非表示,初期状態,隠れアニメーション中
エラー状態1(出っぱなし),画面下端付近(Y≈1030-1080),表示中,任意の場所,表示中,なし(循環参照発生),なし,アプリバー表示でタスクバーが隠れない
エラー状態2(ちらつき),不安定,表示⇔非表示繰り返し,任意の場所,表示⇔非表示繰り返し,頻繁な状態変化検出,なし,デバウンス不足
エラー状態3(表示されない),任意,任意,任意の場所,非表示,なし(判定エラー),なし,位置判定ロジックエラー

現在の問題,,,,,,,
問題1,タスクバー表示中,表示,画面下端から離れた,表示継続,タスクバー隠れるべき,初期状態に戻るべき,循環参照により隠れない
問題2,任意,任意,アプリバー表示予定領域,誤表示,マウスオーバーのみ,非表示にすべき,マウスオーバーで誤表示
問題3,不安定,不安定,任意,ちらつき,頻繁な検出,安定した状態,検出ロジックの不安定

理想的な動作,,,,,,,
ケース1,画面外,非表示,画面下端に移動,非表示,マウス移動,タスクバー出現中,標準的な開始フロー
ケース2,画面下端,表示,画面下端付近,非表示,300ms経過,アプリバー表示中,ディレイ付き表示
ケース3,画面下端,表示,アプリバー上,表示,マウスオーバー継続,表示継続,使用中の維持
ケース4,画面下端,表示,画面下端から離脱,表示,マウス離脱,タスクバー隠れ中,自然な終了フロー
ケース5,画面外,非表示,画面下端から離脱,非表示,隠れ完了,初期状態,完全な終了

修正方針,,,,,,,
方針1,シンプル化,位置ベース判定を単純化,マウス検出範囲の最適化,表示ロジック単純化,タスクバー出現のみ,循環参照排除,複雑なロジックを削除
方針2,応答性向上,デバウンス条件緩和,即座な状態検出,隠れ時即座非表示,隠れ検出の高速化,遅延なし応答,ユーザー体験向上
方針3,安定性確保,確実な状態判定,一貫した検出ロジック,ちらつき防止,安定した表示,信頼性のある遷移,エラー状態の排除

実装優先度,,,,,,,
高優先度,タスクバー検出精度向上,位置判定ロジック修正,マウス検出範囲調整,表示トリガー限定,循環参照完全排除,安定動作確保,基本機能の確実性
中優先度,応答性最適化,デバウンス調整,ディレイ時間調整,UI改善,パフォーマンス向上,ユーザビリティ,使い勝手の向上
低優先度,追加機能,設定可能化,カスタマイズ機能,見た目調整,拡張機能,将来的改善,基本動作確立後
